Title,Description,Link,Location,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Cadastre no.,Energy mark,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Data from realestate book,Register number,Notify about incorrect advertisement,Kulud suvel/talvel,Number of floors,Additional information
"Apartment for sale, 2 rooms, Piibri tn 4, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korter-muugile-on-tulnud-rahulikus-piirkonnas-valg-3383190.html,"59.3755707,24.7447876",2,33.6 m²,2/2,1961,renovated,apartment ownership,78404:404:1210,Missing,"parking free parking, TV-set, separate rooms, furniture, packet windows, parquet, garret, new electricity, closed courtyard","ceramic shove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, toilet room and bathroom separate, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked","surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours",,,,,,
"Apartment for sale, 3 rooms, Ehitajate tee 74, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-3toaline-vaga-hea-planeeringuga-perekorter-ko-3392845.html,"59.407207,24.6694606",3,68.8 m²,9/9,1969,renovated,apartment ownership,,E,"balcony , kitchen, furniture, lift, wall cupboard, separate rooms, new electricity, public transport, furnishing possibility, roof tar paper roof","gas stove, refridgerator","new sewerage, shower, washing machine",central heating,"frontdoor locked, video cameras, neighbourhood watch",,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Ehitajate tee 46, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/korterkorter-asub-5korruselise-maja-esimesel-korru-3392842.html,"59.4013334,24.671122",2,45.5 m²,1/5,1964,needs renovating,apartment ownership,78405:501:3730,E,"basement, box-room, public transport, urban water, wall cupboard, separate rooms, water, TV-set, furniture, electricity, parking free parking, gas, furnishing possibility","gas stove, refridgerator, kitchen furniture","shower, new sewerage, washing machine","heated floors, central heating, gas heating","Internet, phone, cable TV, frontdoor locked, steel door, neighbourhood watch",,,,,,,
"Apartment for sale, 3 rooms, Lille 55, Rääma, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/uus-hind-muua-uues-liftiga-majas-asuv-rodu-ja-pani-3392841.html,"58.3966388,24.5214629",3,54.5 m²,5/5,2017,all brand-new,apartment ownership,62506:057:3030,,"balcony , water, box-room, public transport, urban water, separate rooms, parking free parking, lift, electricity, dressing room, basement, parquet, furnishing possibility, furniture","ceramic shove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, washing machine","central heating, heated floors, heated floors","Internet, steel door, frontdoor locked","surrounding buildings private houses, in the city location",,9212950,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Seebi 1, Kristiine, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kui-sa-soovid-oma-paeva-alustada-linna-koige-kauni-3392839.html,"59.4089841,24.7292685",3,70 m²,18/20,2020,all brand-new,apartment ownership,78401:101:3428,C,"kitchen, dressing room, ventilation, parking free parking, wall cupboard, separate rooms, public transport, garage, urban water, electricity, TV-set, furnishing possibility, parquet, lift, roof tar paper roof","induktsioon pliit, open kitchen, refridgerator","shower, bath, sauna","heated floors, central heating, conditioner, conditioner","Internet, cable TV, steel door, frontdoor locked",,,,,,,
"Apartment for sale, 1 rooms, Kallasmaa 3, Maardu, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/harjumaa-maardu-kallasmaa-346-1-tuba-5-korrus-kinn-3392833.html,"59.4767694,25.0126277",1,17.5 m²,,,satisfactory,private property,,-,"parquet, TV-set, packet windows",refridgerator,"bath, water boiler",electric heating,"cable TV, steel door",,Data from realestate book,,Notify about incorrect advertisement,50 € /  80 €,,
"Apartment for sale, 2 rooms, Kantsi 7, Kilingi-Nõmme linn, Saarde vald, Pärnumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/korteri-asub-vaga-hea-asukohas-lasteaed-ca-300m-ja-3392544.html,"58.148218,24.9680675",2,48.5 m²,2/2,1978,satisfactory,,,Missing,"packet windows, basement",stove heated with firewood,"toilet room and bathroom separate, shower",õhksoojuspump,,"surrounding buildings apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours, Kiriku Järv lake 200 m",Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Vene tn 11, Vanalinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/muua-vaga-hubane-2toaline-korter-vanalinnas-maja-o-3370581.html,"59.4381175,24.74744",2,39.4 m²,1/5,1950,renovated,private property,78401:101:2910,Missing,parking free parking,"ceramic shove, open kitchen, refridgerator, kitchen furniture","sauna, shower, washing machine",central heating,,,,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, A. Adamsoni tn 25, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/planeeringmuua-taielikult-renoveeritud-1toaline-av-3392828.html,"59.4323382,24.725587",1,26 m²,2/2,,renovated,apartment ownership,,F,"parking free parking, packet windows, parquet, new electricity, furniture","electric stove, open kitchen, refridgerator, kitchen furniture","shower, water boiler, washing machine","heated floors, gas heating","Internet, cable TV, steel door, frontdoor locked, neighbourhood watch",,,23054601,,75 € /  120 €,,
"Apartment for sale, 3 rooms, Naaritsa tn 6, Karjaküla, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/sinu-tulevane-kodu-rahulikus-ja-privaatses-karjaku-3392817.html,"59.3389181,24.3868966",3,65.8 m²,1/2,1982,,apartment ownership,29508:001:0005,,"basement, furniture, parking free parking",,bath,"stove heating, fireplace",steel door,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 1 rooms, Laki tn 24, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/uut-elanikku-ootab-ilus-stuudiokorter-mustamael-la-3391516.html,"59.4134721,24.6770845",1,13.9 m²,4/4,,all brand-new,apartment ownership,78405:502:2310,Missing,"new electricity, furniture","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower",central heating,"Internet, steel door, video cameras",,,,,45 € /  70 €,,
"Apartment for sale, 3 rooms, Estonia pst 44, Ahtme, Kohtla-Järve, Ida-Virumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> new electricity, furnishing possibility, closed balcony ",https://www.kv.ee/idavirumaa-kohtlajarve-ahtme-estonia-pst-4419-3-tu-3392796.html,"59.3257649,27.4318206",3,62.2 m²,2/5,,all brand-new,,,-,,,bath,central heating,Internet,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Veeru 6, Maardu, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/harjumaa-maardu-veeru-6-2-tuba-29-korteriomand-63-3392784.html,"59.4887082,25.018804",2,63 m²,2/9,,sanitary renovation needed,apartment ownership,,-,"balcony 3 m², parquet, lift, closed balcony, parking free parking, TV-set, separate rooms, furnishing possibility","electric stove, kitchen 20 m², open kitchen, refridgerator",toilet room and bathroom separate,central heating,"Internet, phone, cable TV, frontdoor locked, steel door",roads in good condition roads,Data from realestate book,,,50 € /  120 €,,
"Apartment for sale, 2 rooms, Õle tn 14, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house",https://www.kv.ee/majamaja-on-taielikult-renoveeritud-2005-aastal-pa-3285905.html,"59.437991,24.7197041",2,42.4 m²,1/3,,renovated,apartment ownership,78408:803:1440,D,"parking free parking, closed courtyard, TV-set, furniture, packet windows, parquet, wall cupboard","ceramic shove, open kitchen, refridgerator, kitchen furniture","new sewerage, water boiler, shower, washing machine",electric heating,"Internet, phone, cable TV, frontdoor locked, neighbourhood watch","roads in good condition roads, neighbours around neighbours, surrounding buildings private houses and apartment buildings, in the city location",Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Kalda tee 20, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",<strong>Heating and ventilation:</strong> central heating ,https://www.kv.ee/muua-vaga-hea-asukohaga-remonti-vajav-korter-suure-3392010.html,"58.3724365,26.7600922",2,38.4 m²,,1975,needs renovating,,79516:024:0001,-,,,,,,,Data from realestate book,,,,5,
"Apartment for sale, 2 rooms, E. Vilde tee 65, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/elukeskkond-ja-asukohtvilde-umbrus-on-ideaalne-elu-3392785.html,"59.4022362,24.6896344",2,43.9 m²,3/5,1966,,apartment ownership,78405:501:0021,E,"balcony 2.7 m², packet windows, wall cupboard","electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, shower",central heating,"Internet, phone, cable TV, frontdoor locked, neighbourhood watch","surrounding buildings apartment buildings, in the city location, roads in good condition roads, neighbours around neighbours",,,,90 € /  110 €,,
