,Title,Description,Link,Location,Price,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Energy mark,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Cadastre no.,Register number,Kulud suvel/talvel,Number of floors,Additional information,population
0,"Apartment for sale, 3 rooms, Luha 9, Keila, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muugile-on-tulnud-logistiliselt-vaga-heas-piirkonn-3393746.html,"59.3101965,24.428897",105000.0,3.0,66.6 m²,1/5,1982.0,needs renovating,apartment ownership,D,Data from realestate book,,,,,,,,,,,,,2131.0
1,"Apartment for sale, 3 rooms, Anne 59, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/uus-pakkumine-turul-taielikult-renoveeritud-korter-3393742.html,"58.3743925,26.757881",93000.0,3.0,67.1 m²,8/9,,,,C,Data from realestate book,Notify about incorrect advertisement,"balcony , kitchen, electricity, urban water, parquet, ventilation, public transport, separate rooms, lift, roof tar paper roof",gas stove,"new sewerage, toilet room and bathroom separate, bath, shower, washing machine",central heating,"Internet, phone, frontdoor locked",,,,,,,6966.0
2,"Apartment for sale, 1 rooms, Uus 2, Aravete, Järva vald, Järvamaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> balcony 6 m², box-room, parking free parking ",https://www.kv.ee/44m2-suurune-esimesel-korrusel-asuv-nurgapealne-ko-3393717.html,"59.1471039,25.7546357",9990.0,1.0,44 m²,,,needs renovating,,-,Data from realestate book,Notify about incorrect advertisement,,,,central heating,"phone, frontdoor locked","surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads",,,,,,623.0
3,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3393735.html,"59.4464575,24.8067922",269900.0,3.0,68.1 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 11.1 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,"new sewerage, sauna","gas heating, heated floors","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
4,"Apartment for sale, 2 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3393731.html,"59.4464575,24.8067922",202900.0,2.0,51.9 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 4.9 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
5,"Apartment for sale, 4 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/laulupargi-kodu-on-ajatu-ja-elegantse-valimusega-k-3357180.html,"59.4464575,24.8067922",299900.0,4.0,86.3 m²,1/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"underground garage, packet windows, parquet, garage, box-room, new electricity, high ceilings, basement, TV-set",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
6,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/vaata-ka-www-laulupargi-ee-laulupargi-kodu-on-ajat-3393739.html,"59.4464575,24.8067922",281900.0,3.0,75.5 m²,2/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 8.6 m², box-room, lift, closed balcony, garage, underground garage, new electricity, high ceilings, basement, TV-set, packet windows, parquet",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
7,"Apartment for sale, 3 rooms, Pirita tee 26d, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/vaata-ka-www-laulupargi-ee-laulupargi-kodu-on-ajat-3393737.html,"59.4464575,24.8067922",279900.0,3.0,72.3 m²,3/5,2022.0,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"balcony 7.2 m², underground garage, parquet, closed balcony, garage, box-room, new electricity, high ceilings, basement, TV-set, packet windows",electric stove,new sewerage,"heated floors, gas heating","Internet, phone, cable TV, steel door, frontdoor locked",water body sea near,78401:115:0880,15520701.0,,,,599.0
8,"Apartment for sale, 2 rooms, Rae 13, Paldiski linn, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/see-kord-on-muugiks-tulnud-2toaline-korter-paldisk-3393725.html,"59.349307,24.0588274",26000.0,2.0,47.5 m²,5/5,1961.0,,,C,Data from realestate book,Notify about incorrect advertisement,"balcony , box-room",,bath,,frontdoor locked,water body sea near,58001:002:0033,,,,,2258.0
9,"Apartment for sale, 3 rooms, Valdeku 116, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/manniku-asumis-on-pakkumisel-muudetud-planeeringug-3393723.html,"59.3756147,24.7130665",129500.0,3.0,60.7 m²,3/5,1988.0,renovated,apartment ownership,D,,,"balcony , parking free parking, urban water, separate rooms, water, electricity, dressing room, basement","electric stove, refridgerator, kitchen furniture","new sewerage, bath",central heating,"Internet, frontdoor locked, steel door, neighbourhood watch",,78404:405:4680,,,,,2720.0
