Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel
"House for sale, Parkali 42, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ",Total area 81.5 m²,https://www.kv.ee/muua-paide-linnas-valguskullane-verandaga-maja-maj-3393491.html,"58.8837293,25.5777054",69000,5,81.5 m²,2,needs renovating,ready,858 m²,56601:007:1250,-,"farm building, 3*380V","water body lake near, roads in good condition roads",,,,,,,,,,,,,
"House for sale, 3 bedrooms, Rookse, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 160.3 m²",https://www.kv.ee/kinnisturebase-kinnistu-suurus-on-6-92-ha-millest-3393724.html,"58.240051969621,27.017403252405",240000,4,160.3 m²,1,all brand-new,,69200 m²,,,"new sewerage, kitchen, open kitchen, electricity, parquet, ventilation, dressing room, well, separate rooms, separate entryway, new electricity, closed courtyard, farm building, garage, roof tin roof","near forest, water body river near",3,2019,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator","bath, water boiler, sauna, shower, local water",geothermic heating,"steel door, video cameras, fenced with garden",,,,,
"House for sale, 4 bedrooms, Käänu tn, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 267.3 m²",https://www.kv.ee/muua-vaga-heas-seisukorras-kodu-privaatses-tokkepu-3363953.html,"59.4394199,24.5724249",550000,6,267.3 m²,2,Good condition,ready,846 m²,,Missing,"balcony 9.7 m², parquet, garage, parking free parking, wall cupboard, dressing room","surrounding buildings private houses, location in suburb location, roads in good condition roads, neighbours around neighbours, Kakumäe rand sea",4,,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","toilet room and bathroom separate, bath, shower, sauna, urban water","conditioner, geothermic heating",fenced with garden,Data from realestate book,,,,
"House for sale, 3 bedrooms, Välja tee 6, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, house area 122 m², total area 122 m²",https://www.kv.ee/hubane-maja-tallinna-lahedal-suurupis-otsib-uusi-e-3393701.html,"59.4641212,24.3978224",280000,4,122 m²,2,Good condition,ready,,,-,"public transport, box-room, TV-set, terrace, electricity, furniture, packet windows, parquet",,3,2006,private property,Notify about incorrect advertisement,,,,,Data from realestate book,8606802,,,
"House for sale, 1 bedrooms, Silmakese, Aakre, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 81 m²",https://www.kv.ee/muua-audentsete-taluhoonetega-kinnistu-aakre-kulas-3393681.html,"58.101587177111,26.187740990491",95000,3,81 m²,1,ready,,21100 m²,,,"electricity, box-room, garret, frontdoor locked, roof asbestos cement roof",,1,1911,private property,Notify about incorrect advertisement,,"sauna, water boiler, bath","stove heating, õhksoojuspump, fireplace",,Data from realestate book,,,,
"House for sale, 3 bedrooms, Võimlemise tn 8, Kesklinn, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 384.7 m²",https://www.kv.ee/muua-keskmisest-oluliselt-suurem-elamu-parnu-keskl-3391503.html,"58.3826749,24.5044746",769400,7,384.7 m²,2,Good condition,ready,,,Missing,"parquet, parking free parking, wall cupboard, TV-set, electricity, 3*380V, furnishing possibility, packet windows","surrounding buildings private houses, location in the center location, roads in good condition roads, neighbours around neighbours",3,2003,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","bath, shower, sauna, toilet room and bathroom separate, urban water, sewerage, washing machine","heated floors, central heating, fireplace","Internet, phone, cable TV, fenced with garden",Data from realestate book,582705,,,
"House for sale, 4 bedrooms, Vankri tee 11, Kakumetsa, Luunja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, house area 128.7 m², total area 142.9 m²",https://www.kv.ee/muugile-on-saabunud-hea-planeeringuga-5toaline-era-3387679.html,"58.3698893,26.844726",255000,5,142.9 m²,1,all brand-new,ready,,,,"box-room, terrace, dressing room, packet windows, parquet","surrounding buildings private houses, roads paved roads",4,2022,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, shower, sauna, sewerage, urban water","heated floors, geothermic heating, conditioner",Internet,Data from realestate book,,,,
"House for sale, Kooli tänav 14, Helme, Tõrva vald, Valgamaa - Real estate portal KV.EE ","Total area 3,169 m²",https://www.kv.ee/kas-sooviksid-saada-moisavalitsejaks-kui-jah-siis-3393663.html,"58.0152527,25.8836811",30000,,3169 m²,,needs renovating,,,20303:001:0590,-,,,,1770,,Notify about incorrect advertisement,,,,,Data from realestate book,2020640,,,
"Cottage for sale, 2 bedrooms, Siili tn 2, Külitse, Kambja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 115 m², total area 125 m²",https://www.kv.ee/pakkuda-korgelt-hinnatud-eramuterajooni-remonti-va-3336716.html,"58.3251863,26.6193055",62900,3,125 m²,1,needs renovating,ready,2075 m²,,-,"garage, terrace, box-room, electricity, public transport, well","neighbours around neighbours, near forest, surrounding buildings private houses, location in suburb location, roads in good condition roads, Ropka paisjärv lake 50 m",2,,private property,Notify about incorrect advertisement,,local water,solid fuel,"neighbourhood watch, fenced with garden",Data from realestate book,,,,
"Cottage for sale, 1 bedrooms,  5, Kurepalu, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 81 m²",https://www.kv.ee/vesi-ja-kanalisatsioon-toodud-krundi-piirini-emajo-3393649.html,"58.3167086,26.8355436",75000,2,81 m²,2,sanitary renovation needed,ready,,,Missing,"parking free parking, terrace, electricity, furnishing possibility, furniture","near forest, Mõrajõgi river , surrounding buildings private houses, roads in good condition roads",1,1986,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, shower, water boiler, urban water, sewerage, washing machine","stove heating, electric heating, fireplace",fenced with garden,Data from realestate book,877004,,,
