,Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel,population
0,"House for sale, Parkali 42, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ",Total area 81.5 m²,https://www.kv.ee/muua-paide-linnas-valguskullane-verandaga-maja-maj-3393491.html,"58.8837293,25.5777054",69000.0,5.0,81.5 m²,2.0,needs renovating,ready,858 m²,56601:007:1250,-,"farm building, 3*380V","water body lake near, roads in good condition roads",,,,,,,,,,,,,,3053.0
1,"House for sale, 3 bedrooms, Rookse, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 160.3 m²",https://www.kv.ee/kinnisturebase-kinnistu-suurus-on-6-92-ha-millest-3393724.html,"58.240051969621,27.017403252405",240000.0,4.0,160.3 m²,1.0,all brand-new,,69200 m²,,,"new sewerage, kitchen, open kitchen, electricity, parquet, ventilation, dressing room, well, separate rooms, separate entryway, new electricity, closed courtyard, farm building, garage, roof tin roof","near forest, water body river near",3.0,2019.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator","bath, water boiler, sauna, shower, local water",geothermic heating,"steel door, video cameras, fenced with garden",,,,,,6.0
2,"House for sale, 4 bedrooms, Käänu tn, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 267.3 m²",https://www.kv.ee/muua-vaga-heas-seisukorras-kodu-privaatses-tokkepu-3363953.html,"59.4394199,24.5724249",550000.0,6.0,267.3 m²,2.0,Good condition,ready,846 m²,,Missing,"balcony 9.7 m², parquet, garage, parking free parking, wall cupboard, dressing room","surrounding buildings private houses, location in suburb location, roads in good condition roads, neighbours around neighbours, Kakumäe rand sea",4.0,,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","toilet room and bathroom separate, bath, shower, sauna, urban water","conditioner, geothermic heating",fenced with garden,Data from realestate book,,,,,373.0
3,"House for sale, 3 bedrooms, Välja tee 6, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, house area 122 m², total area 122 m²",https://www.kv.ee/hubane-maja-tallinna-lahedal-suurupis-otsib-uusi-e-3393701.html,"59.4641212,24.3978224",280000.0,4.0,122 m²,2.0,Good condition,ready,,,-,"public transport, box-room, TV-set, terrace, electricity, furniture, packet windows, parquet",,3.0,2006.0,private property,Notify about incorrect advertisement,,,,,Data from realestate book,8606802.0,,,,95.0
4,"House for sale, 1 bedrooms, Silmakese, Aakre, Elva vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 81 m²",https://www.kv.ee/muua-audentsete-taluhoonetega-kinnistu-aakre-kulas-3393681.html,"58.101587177111,26.187740990491",95000.0,3.0,81 m²,1.0,ready,,21100 m²,,,"electricity, box-room, garret, frontdoor locked, roof asbestos cement roof",,1.0,1911.0,private property,Notify about incorrect advertisement,,"sauna, water boiler, bath","stove heating, õhksoojuspump, fireplace",,Data from realestate book,,,,,8.0
5,"House for sale, 3 bedrooms, Võimlemise tn 8, Kesklinn, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 384.7 m²",https://www.kv.ee/muua-keskmisest-oluliselt-suurem-elamu-parnu-keskl-3391503.html,"58.3826749,24.5044746",769400.0,7.0,384.7 m²,2.0,Good condition,ready,,,Missing,"parquet, parking free parking, wall cupboard, TV-set, electricity, 3*380V, furnishing possibility, packet windows","surrounding buildings private houses, location in the center location, roads in good condition roads, neighbours around neighbours",3.0,2003.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","bath, shower, sauna, toilet room and bathroom separate, urban water, sewerage, washing machine","heated floors, central heating, fireplace","Internet, phone, cable TV, fenced with garden",Data from realestate book,582705.0,,,,6062.0
6,"House for sale, 4 bedrooms, Vankri tee 11, Kakumetsa, Luunja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, house area 128.7 m², total area 142.9 m²",https://www.kv.ee/muugile-on-saabunud-hea-planeeringuga-5toaline-era-3387679.html,"58.3698893,26.844726",255000.0,5.0,142.9 m²,1.0,all brand-new,ready,,,,"box-room, terrace, dressing room, packet windows, parquet","surrounding buildings private houses, roads paved roads",4.0,2022.0,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, shower, sauna, sewerage, urban water","heated floors, geothermic heating, conditioner",Internet,Data from realestate book,,,,,41.0
7,"House for sale, Kooli tänav 14, Helme, Tõrva vald, Valgamaa - Real estate portal KV.EE ","Total area 3,169 m²",https://www.kv.ee/kas-sooviksid-saada-moisavalitsejaks-kui-jah-siis-3393663.html,"58.0152527,25.8836811",30000.0,,3169 m²,,needs renovating,,,20303:001:0590,-,,,,1770.0,,Notify about incorrect advertisement,,,,,Data from realestate book,2020640.0,,,,88.0
8,"Cottage for sale, 2 bedrooms, Siili tn 2, Külitse, Kambja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 115 m², total area 125 m²",https://www.kv.ee/pakkuda-korgelt-hinnatud-eramuterajooni-remonti-va-3336716.html,"58.3251863,26.6193055",62900.0,3.0,125 m²,1.0,needs renovating,ready,2075 m²,,-,"garage, terrace, box-room, electricity, public transport, well","neighbours around neighbours, near forest, surrounding buildings private houses, location in suburb location, roads in good condition roads, Ropka paisjärv lake 50 m",2.0,,private property,Notify about incorrect advertisement,,local water,solid fuel,"neighbourhood watch, fenced with garden",Data from realestate book,,,,,79.0
9,"Cottage for sale, 1 bedrooms,  5, Kurepalu, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 81 m²",https://www.kv.ee/vesi-ja-kanalisatsioon-toodud-krundi-piirini-emajo-3393649.html,"58.3167086,26.8355436",75000.0,2.0,81 m²,2.0,sanitary renovation needed,ready,,,Missing,"parking free parking, terrace, electricity, furnishing possibility, furniture","near forest, Mõrajõgi river , surrounding buildings private houses, roads in good condition roads",1.0,1986.0,private property,Notify about incorrect advertisement,"stove heated with firewood, refridgerator, kitchen furniture","toilet room and bathroom separate, sauna, shower, water boiler, urban water, sewerage, washing machine","stove heating, electric heating, fireplace",fenced with garden,Data from realestate book,877004.0,,,,62.0
10,"House for sale, Uuetoa, Valaste, Toila vald, Ida-Virumaa - Real estate portal KV.EE ","Private ownership, log house, house area 80 m², total area 120 m²",https://www.kv.ee/otse-omanikult-talumaja-saun-korvalhoone-lagunev-v-2042709.html,"59.4410773326078,27.3535844606357",50000.0,3.0,120 m²,1.0,sanitary renovation needed,ready,10092 m²,,,,"roads in good condition roads, near forest, neighbours farther neighbours, Soome laht sea 600 m, surrounding buildings private houses, location outside settlement location",,1920.0,private property,Notify about incorrect advertisement,"stove heated with firewood, kitchen 20 m²","sauna, local water",stove heating,fenced with garden,Data from realestate book,,"farm building, public transport, deep well, box-room, electricity, 3*380V, packet windows, wall wooden wall, roof asbestos cement roof",,,4.0
11,"Farmhouse for sale, Käre, Setomaa vald, Võrumaa - Real estate portal KV.EE ","Private ownership, log house, house area 48 m², total area 158 m²",https://www.kv.ee/voopsu-7-kmrapina-10-kmvarska-14-kmpolva-30-kmvoru-3393637.html,"58.0365677797414,27.5018524817067",74900.0,1.0,158 m²,1.0,renovated,ready,6841 m²,73201:001:1563,,"packet windows, farm building, well, electricity, wall wooden wall, roof profiled roof",near forest,,,private property,Notify about incorrect advertisement,,sauna,,,Data from realestate book,,,,,6.0
12,"House for sale, 1 bedrooms, Vimpli tee 2, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Frame house, total area 1,047 m²",https://www.kv.ee/muua-mereaarses-suurupi-kulas-ilusasti-kujundatud-3393614.html,"59.463811,24.389458",259000.0,3.0,1047 m²,2.0,renovated,,1047 m²,19803:003:0010,Missing,"open kitchen, dressing room, furniture, garage, basement",,1.0,,,,kitchen furniture,"toilet room and bathroom separate, sauna, bath, water boiler, shower, washing machine","heated floors, electric heating, stove heating, fireplace",,,,,,,95.0
13,"House for sale, 3 bedrooms, Veski 6, Suure-Jaani linn, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 110 m²",https://www.kv.ee/kliendipaev-eelregistreerimisega-kliendipaev-toimu-3389368.html,"58.5266551,25.4627804",98000.0,4.0,110 m²,1.0,,,2354 m²,76001:006:0120,Missing,"kitchen, 3*380V, farm building, separate rooms, separate entryway, deep well, closed courtyard, garage, electricity, furniture, dressing room, roof tin roof",,3.0,,private property,,"stove heated with firewood, kitchen 10.4 m², refridgerator","water boiler, shower, toilet room and bathroom separate, local water","õhksoojuspump, stove heating, fireplace, fireplace","security system, neighbourhood watch, fenced with garden, video cameras",,,,,,214.0
14,"House for sale, 3 bedrooms, Karupõllu, Tõdva, Saku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 166.3 m²",https://www.kv.ee/muua-pooleliolev-kivimaja-ehitis-asukohaga-saku-va-3171352.html,"59.259668801782,24.7107740257812",159000.0,4.0,166.3 m²,2.0,all brand-new,roofed box,,,-,"well, electricity, packet windows, garage","neighbours next to neighbours, surrounding buildings private houses, near forest, roads in good condition roads",3.0,2018.0,private property,Notify about incorrect advertisement,,"sauna, local water","heated floors, geothermic heating",,Data from realestate book,,,,,5.0
15,"House for sale, Sillaotsa, Saula, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house, total area 242.1 m²",https://www.kv.ee/muua-tore-maja-kose-vallas-muuakse-kogu-sisustuseg-3393571.html,"59.2209379,25.0460322",595000.0,,242.1 m²,2.0,ready,,13334 m²,33701:002:0389,,"balcony , open kitchen, separate entryway, water, 3*380V, furnishing possibility, furniture, electricity, show case windows, public transport, well, deep well, high ceilings, roof tin roof",near forest,,2008.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","shower, toilet room and bathroom separate, water boiler, local water","heated floors, fireplace, geothermic heating",security system,,7741202.0,,,,23.0
16,"House for sale, Raudtee 22, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 170 m², total area 180 m²",https://www.kv.ee/muua-maja-koos-garaazi-ja-korvalhoonega-1273939.html,"58.8861618,25.5416443",109000.0,5.0,180 m²,2.0,needs renovating,ready,770 m²,,-,"garage, wall brick wall, roof tin roof",,,1977.0,private property,Notify about incorrect advertisement,,"bath, water boiler, sewerage, urban water",õhksoojuspump,,Data from realestate book,,,,,567.0
17,"House for sale, 3 bedrooms, Tedre tee, Muraste, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 203.6 m²",https://www.kv.ee/muua-heas-korras-maja-aiaga-piiritletud-privaatses-3393527.html,"59.4613257,24.4459714",330000.0,5.0,203.6 m²,2.0,,,1164 m²,19805:007:6130,,"balcony , parking free parking",,3.0,2009.0,private property,Notify about incorrect advertisement,,"water boiler, bath, sauna, shower",heated floors,"Internet, security system, steel door",,,,,,444.0
18,"House for sale, 33 bedrooms, Pärnu tn 56, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 1,350 m²",https://www.kv.ee/muua-maja-paide-linnasudames-sobilik-uurimajaks-vo-3372160.html,"58.8861716,25.5575102",130100.0,31.0,1350 m²,3.0,needs renovating,box with doors and windows,,,E,,"location in the center location, roads in good condition roads, neighbours around neighbours, surrounding buildings apartment buildings",33.0,1955.0,private property,Notify about incorrect advertisement,,"shower, urban water, sewerage",central heating,"Internet, phone, cable TV",Data from realestate book,357836.0,"basement, 3*380V, packet windows, electricity, public transport, box-room, parking free parking, wall brick wall, roof asbestos cement roof",,,1408.0
19,"House for sale, Rohuneeme tee 67a, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 91.6 m²",https://www.kv.ee/planeeringu-jargi-avatud-koogiga-elutuba-kaks-tuba-3393481.html,"59.538182488578,24.793616427485",280000.0,3.0,91.6 m²,,ready,,1004 m²,,Missing,"kitchen, open kitchen, electricity, parking free parking, closed courtyard, 3*380V",roads paved roads,,,private property,,kitchen furniture,"sewerage, urban water","stove heating, conditioner","Internet, fenced with garden",Data from realestate book,,,1/1,,131.0
20,"House for sale, 3 bedrooms, Talve tee 16, Üksnurme, Saku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 156 m²",https://www.kv.ee/muua-hubaselt-kena-ja-armas-kodu-saku-valla-kaunim-3393478.html,"59.2813829,24.651727",275000.0,4.0,156 m²,1.0,Good condition,ready,,,Missing,"parquet, deep well, terrace, electricity, dressing room, 3*380V, furnishing possibility, furniture, packet windows",,3.0,2008.0,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","shower, bath, water boiler, washing machine, urban water, sewerage","õhksoojuspump, electric heating, heated floors, combined heating, fireplace","neighbourhood watch, fenced with garden",Data from realestate book,,,,,112.0
21,"House for sale, 2 bedrooms, Kivivõhma 32, Krei, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/harjumaa-kose-vald-krei-hea-pakkumine-kivivohma-32-3393475.html,"59.2153999,25.1346999",38000.0,3.0,,,needs renovating,ready,,33701:003:0021,Missing,terrace,,2.0,,private property,,,,,,,,,1/1,,35.0
22,"House for sale, 3 bedrooms, Paide mnt 41, Paikuse, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 128 m²",https://www.kv.ee/elamu-on-kahekordne-ja-sobib-ideaalselt-elamiseks-3390049.html,"58.381223,24.6325534",240000.0,5.0,128 m²,2.0,Good condition,ready,,,-,"parking free parking, wall cupboard, terrace, electricity, dressing room, furniture, packet windows, garage, farm building, box-room","neighbours around neighbours, surrounding buildings private houses, location in the center location, Pärnu jõgi river 1,000 m, roads in good condition roads",3.0,1930.0,private property,Notify about incorrect advertisement,"ceramic shove, kitchen furniture","water boiler, sauna, shower, urban water, sewerage","heated floors, stove heating, õhksoojuspump, solid fuel, electric heating, conditioner, combined heating, fireplace","Internet, phone, cable TV, steel door, fenced with garden",Data from realestate book,886606.0,,,,81.0
23,"House for sale, 2 bedrooms, Raudtee 7, Raasiku, Raasiku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house, total area 184 m²",https://www.kv.ee/krundile-on-ehitatud-varem-kinnitatud-projekti-jar-3393460.html,"59.3642387,25.1826479",105000.0,3.0,184 m²,2.0,needs renovating,,1182 m²,,,"public transport, farm building, box-room, closed courtyard, roof asbestos cement roof",near forest,2.0,1967.0,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, urban water",stove heating,"video cameras, neighbourhood watch, fenced with garden",Data from realestate book,,,,,547.0
24,"House for sale, Rohuneeme tee 67b, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 124.4 m²",https://www.kv.ee/muua-2korruseline-maja-mereaarsel-kinnistul-maja-u-3393439.html,"59.538219124038,24.793479940192",445000.0,4.0,124.4 m²,,ready,,1149 m²,89001:003:0924,,"balcony 11.1 m², balcony , kitchen, open kitchen, farm building, parquet, terrace, closed courtyard",roads paved roads,,2017.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","water boiler, bath, shower, sewerage, urban water","stove heating, central heating, conditioner, fireplace","Internet, fenced with garden",,,,2/2,,131.0
25,"House for sale, 4 bedrooms, Ristiku 31, Variku, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 129 m²",https://www.kv.ee/uuenduskolmapaeval-24-novembril-toimus-2-korruse-l-3393424.html,"58.3493122,26.7093069",323000.0,5.0,129 m²,2.0,all brand-new,,1146 m²,,,"balcony , parking free parking, box-room",,4.0,2022.0,apartment ownership,Notify about incorrect advertisement,"electric stove, kitchen 7.3 m²",,õhksoojuspump,,Data from realestate book,,,,,3698.0
26,"House for sale, 4 bedrooms, Maikellukese tn 11, Alliku, Saue vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 166.1 m², total area 174.3 m²",https://www.kv.ee/muua-uus-kvaliteetne-maja-laagri-korval-asuvas-ves-3385966.html,"59.3584977179684,24.5942982952454",435000.0,5.0,174.3 m²,1.0,all brand-new,ready,,,A,"box-room, terrace, electricity, dressing room, packet windows, parquet, parking free parking, public transport","near forest, water body river near, surrounding buildings private houses, roads in good condition roads, neighbours around neighbours",4.0,2021.0,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, sauna, shower, urban water, sewerage","heated floors, geothermic heating","Internet, cable TV, steel door",Data from realestate book,,,,,237.0
27,"House for sale, Tarakvere, Mustvee vald, Jõgevamaa - Real estate portal KV.EE ","Private ownership, house area 52.8 m², total area 139 m²",https://www.kv.ee/muua-armas-suure-potentsiaaliga-majapidamine-tarak-3377951.html,"58.7819079694,26.7736631159668",44900.0,,139 m²,1.0,needs renovating,ready,10852 m²,71301:001:0023,,"well, electricity","water body Tarakvere paisjärv near, near forest, roads in good condition roads",,1959.0,private property,Notify about incorrect advertisement,,,stove heating,,Data from realestate book,,,,,6.0
28,"Farmhouse for sale, Puka, Otepää vald, Valgamaa - Real estate portal KV.EE ",Total area 337 m²,https://www.kv.ee/muua-suur-krunt-puka-aleviku-kulje-all-ruuna-kulas-3377690.html,"58.050706696561,26.2356260005859",27900.0,,337 m²,1.0,needs renovating,,19148 m²,60802:002:0370,-,"farm building, well, basement","near forest, roads in good condition roads",,1911.0,,,,local water,,,,157040.0,,,,354.0
29,"House for sale, 1 bedrooms, Võõpsu mnt 45, Räpina linn, Räpina vald, Põlvamaa - Real estate portal KV.EE ","Private ownership, total area 2,282 m²",https://www.kv.ee/rapina-linnas-muua-kahest-katastriuksusest-koosnev-3358809.html,"58.0960139,27.4689651",32000.0,2.0,2282 m²,1.0,needs renovating,ready,,,-,"public transport, farm building, well, electricity, furniture",,1.0,1917.0,private property,Notify about incorrect advertisement,,"sauna, sewerage, urban water",stove heating,,Data from realestate book,1784738.0,,,,1314.0
