Title,Description,Link,Location,Price,Rooms,Bedrooms,Total area,Number of floors,Built in year,Condition,Ownership,Ground area,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Sanitary arrangements,Heating and ventilation,Communications and security,Kitchen,Cadastre no.,Energy mark,Readiness,Register number,Neighbourhood,This floor/Number of floors,Kulud suvel/talvel,Additional information
"Maisonette for sale, 4 bedrooms, Vanatoa tee 13, Lähtse, Kiili vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, total area 90.4 m²",https://www.kv.ee/httpsrabarebase-eekiili-aleviku-kulje-all-valmib-2-3386454.html,"59.292014,24.863741",224000,5,4,90.4 m²,2,2022,all brand-new,apartment ownership,461 m²,Data from realestate book,Notify about incorrect advertisement,"ventilation, water","sewerage, urban water",geothermic heating,cable TV,,,,,,,,,
"Row house box for sale, 4 bedrooms, Vanatoa tee 11, Lähtse, Kiili vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, total area 107.6 m²",https://www.kv.ee/rabarebase-aedlinn-on-terviklik-elukeskkond-kuhu-o-3386625.html,"59.441433,24.899824",239000,5,4,107.6 m²,2,2022,all brand-new,apartment ownership,316 m²,Data from realestate book,Notify about incorrect advertisement,"open kitchen, water, ventilation, new electricity, box-room, roof tar paper roof","shower, toilet room and bathroom separate, urban water, sewerage","heated floors, heated floors, geothermic heating",steel door,electric stove,,,,,,,,
"Row house box for sale, Lehise tee 37, Haaslava, Kastre vald, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 75.1 m²",https://www.kv.ee/muuki-tulid-uued-energiasaastlikud-ridaelamuboksid-3381322.html,"58.3261761,26.8060709",129900,4,,75.1 m²,2,2022,all brand-new,apartment ownership,,,,"terrace, packet windows, parking free parking","urban water, sewerage",õhksoojuspump,,,29101:001:1059,A,,,,,,
"Row house box for sale, 3 bedrooms, Kaare tee 9, Järveküla, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 124 m²",https://www.kv.ee/muua-uus-ridamaja-boks-ainulaadses-asukohas-jarvek-3387833.html,"59.3909128,24.796628",395000,4,3,124 m²,2,2021,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"terrace, electricity, parquet, box-room","shower, sauna, bath, urban water, sewerage",heated floors,security system,,,A,ready,11913202,"location in the center location, surrounding buildings private houses and apartment buildings, Ülemiste lake",,,
"Maisonette for sale, 3 bedrooms, Jõeküla tee 18/4, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 107.4 m²",https://www.kv.ee/arenduse-koduleht-joekula-eekakumae-sudamesse-rahu-3380892.html,"59.4412499,24.5866672",297000,4,3,107.4 m²,,2022,all brand-new,apartment ownership,,,,"box-room, organisation through the few floors, electricity, ventilation, parquet, frontdoor locked",urban water,geothermic heating,"Internet, cable TV, steel door",,,A,,,water body sea near,1/2,,
"Row house box for sale, 3 bedrooms, Ööbiku tee 2, Assaku, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 114.9 m²",https://www.kv.ee/uus-kodu-arenevas-piirkonnas-toestatud-ehituskvali-3389632.html,,,4,3,114.9 m²,2,2022,all brand-new,apartment ownership,3002 m²,Data from realestate book,Notify about incorrect advertisement,"parking free parking, public transport, terrace, electricity, packet windows, parquet","sauna, bath, shower, water boiler, urban water, sewerage",heated floors,"Internet, fenced with garden, steel door",,,A,,,"surrounding buildings private houses, location in suburb location, roads in good condition roads, neighbours around neighbours",,,
"Row house box for sale, 3 bedrooms, Vabaõhumuuseumi tee 77a, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 95.1 m², total area 97.1 m²",https://www.kv.ee/vabaohumuuseumi-tee-77a-uusarendus-koosneb-ridamaj-3314216.html,"59.4456053,24.609696",317000,4,3,97.1 m²,2,2022,all brand-new,apartment ownership,61 m²,Data from realestate book,Notify about incorrect advertisement,"parking not free parking, TV-set, terrace, electricity, dressing room, packet windows, parquet, public transport, box-room","shower, sauna, bath, toilet room and bathroom separate, urban water, sewerage","heated floors, õhksoojuspump","Internet, phone, cable TV",,,,,,"near forest, roads in good condition roads, neighbours at one side neighbours, Tallinna laht sea 600 m, surrounding buildings private houses and apartment buildings, location in suburb location",,,
"Row house box for sale, 3 bedrooms, Järveääre tee 1/4, Peetri, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 98.5 m², total area 106.9 m²",https://www.kv.ee/kui-unistate-komfortsest-elamisest-mugavas-piirkon-3385441.html,"59.3936981,24.7964889",265000,4,3,106.9 m²,2,2004,Good condition,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 5.9 m², electricity, dressing room, 3*380V, furniture, packet windows, parquet, parking free parking, public transport, box-room, wall cupboard, TV-set, terrace","bath, water boiler, urban water, sewerage, washing machine","electric heating, heated floors","Internet, cable TV, security system, steel door, fenced with garden","electric stove, kitchen 11 m², refridgerator, kitchen furniture",,Missing,ready,6946802,"neighbours around neighbours, location in suburb location, surrounding buildings private houses and apartment buildings, roads in good condition roads",,,
"Maisonette for sale, 3 bedrooms, Paelille tee 3, Lubja, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 128.9 m², total area 128.9 m²",https://www.kv.ee/paarismajad-valmivad-detsembris-2021-akokku-kerkib-3379603.html,"59.5106947,24.8425165",335000,4,3,128.9 m²,2,2021,all brand-new,apartment ownership,111 m²,,Notify about incorrect advertisement,"balcony 9.4 m², parking free parking, electricity, dressing room, packet windows, parquet, terrace","toilet room and bathroom separate, shower, bath, sauna, urban water, sewerage","õhksoojuspump, heated floors","Internet, phone, steel door, neighbourhood watch",electric stove,,,,,"neighbours around neighbours, surrounding buildings private houses, roads in good condition roads",,,
"Row house box for sale, Tamme tee 11, Ihaste, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 83.9 m², total area 113.3 m²",https://www.kv.ee/arenduse-esimene-ridaelamu-tamme-tee-13-on-muudud-3236921.html,"85.0511880141214,179.999227523804",165000,3,,113.3 m²,2,2021,all brand-new,apartment ownership,1577 m²,,Notify about incorrect advertisement,"balcony 8 m², parking free parking, packet windows, parquet, box-room, terrace, electricity, dressing room","toilet room and bathroom separate, shower, bath, sauna, urban water, sewerage",geothermic heating,"Internet, neighbourhood watch",,,,ready,,"roads in good condition roads, surrounding buildings private houses",,,
